"";"round";"seller";"buyer";"good";"price";"quantity"
"146";29;"firm_1:";"household_0:";"consumption_good";1;1
"147";29;"firm_1:";"household_1:";"consumption_good";1;1
"148";29;"household_1:";"firm_1:";"labor";1;1
"149";29;"household_0:";"firm_0:";"labor";1;1
"150";30;"firm_0:";"firm_1:";"intermediate_good";1;1
"151";30;"household_0:";"firm_0:";"labor";1;1
"152";30;"firm_1:";"household_0:";"consumption_good";1;1
"153";30;"firm_1:";"household_1:";"consumption_good";1;1
"154";30;"household_1:";"firm_1:";"labor";1;1
"155";31;"firm_0:";"firm_1:";"intermediate_good";1;1
"156";31;"firm_1:";"household_0:";"consumption_good";1;1
"157";31;"firm_1:";"household_1:";"consumption_good";1;1
"158";31;"household_0:";"firm_0:";"labor";1;1
"159";31;"household_1:";"firm_1:";"labor";1;1
"160";32;"firm_0:";"firm_1:";"intermediate_good";1;1
"161";32;"firm_1:";"household_0:";"consumption_good";1;1
"162";32;"firm_1:";"household_1:";"consumption_good";1;1
"163";32;"household_0:";"firm_0:";"labor";1;1
"164";32;"household_1:";"firm_1:";"labor";1;1
"165";33;"firm_0:";"firm_1:";"intermediate_good";1;1
"166";33;"household_0:";"firm_0:";"labor";1;1
"167";33;"firm_1:";"household_0:";"consumption_good";1;1
"168";33;"firm_1:";"household_1:";"consumption_good";1;1
"169";33;"household_1:";"firm_1:";"labor";1;1
"170";34;"firm_0:";"firm_1:";"intermediate_good";1;1
"171";34;"household_0:";"firm_0:";"labor";1;1
"172";34;"firm_1:";"household_0:";"consumption_good";1;1
"173";34;"firm_1:";"household_1:";"consumption_good";1;1
"174";34;"household_1:";"firm_1:";"labor";1;1
"175";35;"firm_0:";"firm_1:";"intermediate_good";1;1
"176";35;"firm_1:";"household_0:";"consumption_good";1;1
"177";35;"firm_1:";"household_1:";"consumption_good";1;1
"178";35;"household_0:";"firm_0:";"labor";1;1
"179";35;"household_1:";"firm_1:";"labor";1;1
"180";36;"firm_0:";"firm_1:";"intermediate_good";1;1
"181";36;"firm_1:";"household_0:";"consumption_good";1;1
"182";36;"firm_1:";"household_1:";"consumption_good";1;1
"183";36;"household_1:";"firm_1:";"labor";1;1
"184";36;"household_0:";"firm_0:";"labor";1;1
"185";37;"firm_0:";"firm_1:";"intermediate_good";1;1
"186";37;"firm_1:";"household_0:";"consumption_good";1;1
"187";37;"firm_1:";"household_1:";"consumption_good";1;1
"188";37;"household_1:";"firm_1:";"labor";1;1
"189";37;"household_0:";"firm_0:";"labor";1;1
"190";38;"firm_1:";"household_0:";"consumption_good";1;1
"191";38;"firm_1:";"household_1:";"consumption_good";1;1
"192";38;"firm_0:";"firm_1:";"intermediate_good";1;1
"193";38;"household_0:";"firm_0:";"labor";1;1
"194";38;"household_1:";"firm_1:";"labor";1;1
"195";39;"firm_0:";"firm_1:";"intermediate_good";1;1
"196";39;"firm_1:";"household_0:";"consumption_good";1;1
"197";39;"firm_1:";"household_1:";"consumption_good";1;1
"198";39;"household_0:";"firm_0:";"labor";1;1
"199";39;"household_1:";"firm_1:";"labor";1;1
