index,li,round,name,lr,l_i,l_r,i,r,money
81,1,02,Davoud,20,1,20,1,20,2.1000000000000005
82,2,02,fred,20,2,20,2,20,2.1000000000000005
83,3,02,F12,20,3,20,3,20,2.1000000000000005
84,0,02,A,20,0,20,0,20,2.1000000000000005
85,1,12,Davoud,21,1,21,1,21,2.2000000000000006
86,2,12,fred,21,2,21,2,21,2.2000000000000006
87,3,12,F12,21,3,21,3,21,2.2000000000000006
88,0,12,A,21,0,21,0,21,2.2000000000000006
89,1,22,Davoud,22,1,22,1,22,2.3000000000000007
90,2,22,fred,22,2,22,2,22,2.3000000000000007
91,3,22,F12,22,3,22,3,22,2.3000000000000007
92,0,22,A,22,0,22,0,22,2.3000000000000007
93,1,32,Davoud,23,1,23,1,23,2.400000000000001
94,2,32,fred,23,2,23,2,23,2.400000000000001
95,3,32,F12,23,3,23,3,23,2.400000000000001
96,0,32,A,23,0,23,0,23,2.400000000000001
97,1,42,Davoud,24,1,24,1,24,2.500000000000001
98,2,42,fred,24,2,24,2,24,2.500000000000001
99,3,42,F12,24,3,24,3,24,2.500000000000001
100,0,42,A,24,0,24,0,24,2.500000000000001
101,1,52,Davoud,25,1,25,1,25,2.600000000000001
102,2,52,fred,25,2,25,2,25,2.600000000000001
103,3,52,F12,25,3,25,3,25,2.600000000000001
104,0,52,A,25,0,25,0,25,2.600000000000001
105,1,62,Davoud,26,1,26,1,26,2.700000000000001
106,2,62,fred,26,2,26,2,26,2.700000000000001
107,3,62,F12,26,3,26,3,26,2.700000000000001
108,0,62,A,26,0,26,0,26,2.700000000000001
109,1,72,Davoud,27,1,27,1,27,2.800000000000001
110,2,72,fred,27,2,27,2,27,2.800000000000001
111,3,72,F12,27,3,27,3,27,2.800000000000001
112,0,72,A,27,0,27,0,27,2.800000000000001
113,1,82,Davoud,28,1,28,1,28,2.9000000000000012
114,2,82,fred,28,2,28,2,28,2.9000000000000012
115,3,82,F12,28,3,28,3,28,2.9000000000000012
116,0,82,A,28,0,28,0,28,2.9000000000000012
117,1,92,Davoud,29,1,29,1,29,3.0000000000000013
118,2,92,fred,29,2,29,2,29,3.0000000000000013
119,3,92,F12,29,3,29,3,29,3.0000000000000013
120,0,92,A,29,0,29,0,29,3.0000000000000013
121,1,03,Davoud,30,1,30,1,30,3.1000000000000014
122,2,03,fred,30,2,30,2,30,3.1000000000000014
123,3,03,F12,30,3,30,3,30,3.1000000000000014
124,0,03,A,30,0,30,0,30,3.1000000000000014
125,1,13,Davoud,31,1,31,1,31,3.2000000000000015
126,2,13,fred,31,2,31,2,31,3.2000000000000015
127,3,13,F12,31,3,31,3,31,3.2000000000000015
128,0,13,A,31,0,31,0,31,3.2000000000000015
129,1,23,Davoud,32,1,32,1,32,3.3000000000000016
130,2,23,fred,32,2,32,2,32,3.3000000000000016
131,3,23,F12,32,3,32,3,32,3.3000000000000016
132,0,23,A,32,0,32,0,32,3.3000000000000016
133,1,33,Davoud,33,1,33,1,33,3.4000000000000017
134,2,33,fred,33,2,33,2,33,3.4000000000000017
135,3,33,F12,33,3,33,3,33,3.4000000000000017
136,0,33,A,33,0,33,0,33,3.4000000000000017
137,1,43,Davoud,34,1,34,1,34,3.5000000000000018
138,2,43,fred,34,2,34,2,34,3.5000000000000018
139,3,43,F12,34,3,34,3,34,3.5000000000000018
140,0,43,A,34,0,34,0,34,3.5000000000000018
141,1,53,Davoud,35,1,35,1,35,3.600000000000002
142,2,53,fred,35,2,35,2,35,3.600000000000002
143,3,53,F12,35,3,35,3,35,3.600000000000002
144,0,53,A,35,0,35,0,35,3.600000000000002
145,1,63,Davoud,36,1,36,1,36,3.700000000000002
146,2,63,fred,36,2,36,2,36,3.700000000000002
147,3,63,F12,36,3,36,3,36,3.700000000000002
148,0,63,A,36,0,36,0,36,3.700000000000002
149,1,73,Davoud,37,1,37,1,37,3.800000000000002
150,2,73,fred,37,2,37,2,37,3.800000000000002
151,3,73,F12,37,3,37,3,37,3.800000000000002
152,0,73,A,37,0,37,0,37,3.800000000000002
153,1,83,Davoud,38,1,38,1,38,3.900000000000002
154,2,83,fred,38,2,38,2,38,3.900000000000002
155,3,83,F12,38,3,38,3,38,3.900000000000002
156,0,83,A,38,0,38,0,38,3.900000000000002
157,1,93,Davoud,39,1,39,1,39,4.000000000000002
158,2,93,fred,39,2,39,2,39,4.000000000000002
159,3,93,F12,39,3,39,3,39,4.000000000000002
160,0,93,A,39,0,39,0,39,4.000000000000002
161,1,04,Davoud,40,1,40,1,40,4.100000000000001
162,2,04,fred,40,2,40,2,40,4.100000000000001
163,3,04,F12,40,3,40,3,40,4.100000000000001
164,0,04,A,40,0,40,0,40,4.100000000000001
165,1,14,Davoud,41,1,41,1,41,4.200000000000001
166,2,14,fred,41,2,41,2,41,4.200000000000001
167,3,14,F12,41,3,41,3,41,4.200000000000001
168,0,14,A,41,0,41,0,41,4.200000000000001
169,1,24,Davoud,42,1,42,1,42,4.300000000000001
170,2,24,fred,42,2,42,2,42,4.300000000000001
171,3,24,F12,42,3,42,3,42,4.300000000000001
172,0,24,A,42,0,42,0,42,4.300000000000001
173,1,34,Davoud,43,1,43,1,43,4.4
174,2,34,fred,43,2,43,2,43,4.4
175,3,34,F12,43,3,43,3,43,4.4
176,0,34,A,43,0,43,0,43,4.4
177,1,44,Davoud,44,1,44,1,44,4.5
178,2,44,fred,44,2,44,2,44,4.5
179,3,44,F12,44,3,44,3,44,4.5
180,0,44,A,44,0,44,0,44,4.5
181,1,54,Davoud,45,1,45,1,45,4.6
182,2,54,fred,45,2,45,2,45,4.6
183,3,54,F12,45,3,45,3,45,4.6
184,0,54,A,45,0,45,0,45,4.6
185,1,64,Davoud,46,1,46,1,46,4.699999999999999
186,2,64,fred,46,2,46,2,46,4.699999999999999
187,3,64,F12,46,3,46,3,46,4.699999999999999
188,0,64,A,46,0,46,0,46,4.699999999999999
189,1,74,Davoud,47,1,47,1,47,4.799999999999999
190,2,74,fred,47,2,47,2,47,4.799999999999999
191,3,74,F12,47,3,47,3,47,4.799999999999999
192,0,74,A,47,0,47,0,47,4.799999999999999
193,1,84,Davoud,48,1,48,1,48,4.899999999999999
194,2,84,fred,48,2,48,2,48,4.899999999999999
195,3,84,F12,48,3,48,3,48,4.899999999999999
196,0,84,A,48,0,48,0,48,4.899999999999999
197,1,94,Davoud,49,1,49,1,49,4.999999999999998
198,2,94,fred,49,2,49,2,49,4.999999999999998
199,3,94,F12,49,3,49,3,49,4.999999999999998
200,0,94,A,49,0,49,0,49,4.999999999999998
201,1,05,Davoud,50,1,50,1,50,5.099999999999998
202,2,05,fred,50,2,50,2,50,5.099999999999998
203,3,05,F12,50,3,50,3,50,5.099999999999998
204,0,05,A,50,0,50,0,50,5.099999999999998
205,1,15,Davoud,51,1,51,1,51,5.1999999999999975
206,2,15,fred,51,2,51,2,51,5.1999999999999975
207,3,15,F12,51,3,51,3,51,5.1999999999999975
208,0,15,A,51,0,51,0,51,5.1999999999999975
209,1,25,Davoud,52,1,52,1,52,5.299999999999997
210,2,25,fred,52,2,52,2,52,5.299999999999997
211,3,25,F12,52,3,52,3,52,5.299999999999997
212,0,25,A,52,0,52,0,52,5.299999999999997
213,1,35,Davoud,53,1,53,1,53,5.399999999999997
214,2,35,fred,53,2,53,2,53,5.399999999999997
215,3,35,F12,53,3,53,3,53,5.399999999999997
216,0,35,A,53,0,53,0,53,5.399999999999997
217,1,45,Davoud,54,1,54,1,54,5.4999999999999964
218,2,45,fred,54,2,54,2,54,5.4999999999999964
219,3,45,F12,54,3,54,3,54,5.4999999999999964
220,0,45,A,54,0,54,0,54,5.4999999999999964
221,1,55,Davoud,55,1,55,1,55,5.599999999999996
222,2,55,fred,55,2,55,2,55,5.599999999999996
223,3,55,F12,55,3,55,3,55,5.599999999999996
224,0,55,A,55,0,55,0,55,5.599999999999996
225,1,65,Davoud,56,1,56,1,56,5.699999999999996
226,2,65,fred,56,2,56,2,56,5.699999999999996
227,3,65,F12,56,3,56,3,56,5.699999999999996
228,0,65,A,56,0,56,0,56,5.699999999999996
229,1,75,Davoud,57,1,57,1,57,5.799999999999995
230,2,75,fred,57,2,57,2,57,5.799999999999995
231,3,75,F12,57,3,57,3,57,5.799999999999995
232,0,75,A,57,0,57,0,57,5.799999999999995
233,1,85,Davoud,58,1,58,1,58,5.899999999999995
234,2,85,fred,58,2,58,2,58,5.899999999999995
235,3,85,F12,58,3,58,3,58,5.899999999999995
236,0,85,A,58,0,58,0,58,5.899999999999995
237,1,95,Davoud,59,1,59,1,59,5.999999999999995
238,2,95,fred,59,2,59,2,59,5.999999999999995
239,3,95,F12,59,3,59,3,59,5.999999999999995
240,0,95,A,59,0,59,0,59,5.999999999999995
241,1,06,Davoud,60,1,60,1,60,6.099999999999994
242,2,06,fred,60,2,60,2,60,6.099999999999994
243,3,06,F12,60,3,60,3,60,6.099999999999994
244,0,06,A,60,0,60,0,60,6.099999999999994
245,1,16,Davoud,61,1,61,1,61,6.199999999999994
246,2,16,fred,61,2,61,2,61,6.199999999999994
247,3,16,F12,61,3,61,3,61,6.199999999999994
248,0,16,A,61,0,61,0,61,6.199999999999994
249,1,26,Davoud,62,1,62,1,62,6.299999999999994
250,2,26,fred,62,2,62,2,62,6.299999999999994
251,3,26,F12,62,3,62,3,62,6.299999999999994
252,0,26,A,62,0,62,0,62,6.299999999999994
253,1,36,Davoud,63,1,63,1,63,6.399999999999993
254,2,36,fred,63,2,63,2,63,6.399999999999993
255,3,36,F12,63,3,63,3,63,6.399999999999993
256,0,36,A,63,0,63,0,63,6.399999999999993
257,1,46,Davoud,64,1,64,1,64,6.499999999999993
258,2,46,fred,64,2,64,2,64,6.499999999999993
259,3,46,F12,64,3,64,3,64,6.499999999999993
260,0,46,A,64,0,64,0,64,6.499999999999993
261,1,56,Davoud,65,1,65,1,65,6.5999999999999925
262,2,56,fred,65,2,65,2,65,6.5999999999999925
263,3,56,F12,65,3,65,3,65,6.5999999999999925
264,0,56,A,65,0,65,0,65,6.5999999999999925
265,1,66,Davoud,66,1,66,1,66,6.699999999999992
266,2,66,fred,66,2,66,2,66,6.699999999999992
267,3,66,F12,66,3,66,3,66,6.699999999999992
268,0,66,A,66,0,66,0,66,6.699999999999992
269,1,76,Davoud,67,1,67,1,67,6.799999999999992
270,2,76,fred,67,2,67,2,67,6.799999999999992
271,3,76,F12,67,3,67,3,67,6.799999999999992
272,0,76,A,67,0,67,0,67,6.799999999999992
273,1,86,Davoud,68,1,68,1,68,6.8999999999999915
274,2,86,fred,68,2,68,2,68,6.8999999999999915
275,3,86,F12,68,3,68,3,68,6.8999999999999915
276,0,86,A,68,0,68,0,68,6.8999999999999915
277,1,96,Davoud,69,1,69,1,69,6.999999999999991
278,2,96,fred,69,2,69,2,69,6.999999999999991
279,3,96,F12,69,3,69,3,69,6.999999999999991
280,0,96,A,69,0,69,0,69,6.999999999999991
281,1,07,Davoud,70,1,70,1,70,7.099999999999991
282,2,07,fred,70,2,70,2,70,7.099999999999991
283,3,07,F12,70,3,70,3,70,7.099999999999991
284,0,07,A,70,0,70,0,70,7.099999999999991
285,1,17,Davoud,71,1,71,1,71,7.19999999999999
286,2,17,fred,71,2,71,2,71,7.19999999999999
287,3,17,F12,71,3,71,3,71,7.19999999999999
288,0,17,A,71,0,71,0,71,7.19999999999999
289,1,27,Davoud,72,1,72,1,72,7.29999999999999
290,2,27,fred,72,2,72,2,72,7.29999999999999
291,3,27,F12,72,3,72,3,72,7.29999999999999
292,0,27,A,72,0,72,0,72,7.29999999999999
293,1,37,Davoud,73,1,73,1,73,7.39999999999999
294,2,37,fred,73,2,73,2,73,7.39999999999999
295,3,37,F12,73,3,73,3,73,7.39999999999999
296,0,37,A,73,0,73,0,73,7.39999999999999
297,1,47,Davoud,74,1,74,1,74,7.499999999999989
298,2,47,fred,74,2,74,2,74,7.499999999999989
299,3,47,F12,74,3,74,3,74,7.499999999999989
300,0,47,A,74,0,74,0,74,7.499999999999989
301,1,57,Davoud,75,1,75,1,75,7.599999999999989
302,2,57,fred,75,2,75,2,75,7.599999999999989
303,3,57,F12,75,3,75,3,75,7.599999999999989
304,0,57,A,75,0,75,0,75,7.599999999999989
305,1,67,Davoud,76,1,76,1,76,7.699999999999989
306,2,67,fred,76,2,76,2,76,7.699999999999989
307,3,67,F12,76,3,76,3,76,7.699999999999989
308,0,67,A,76,0,76,0,76,7.699999999999989
309,1,77,Davoud,77,1,77,1,77,7.799999999999988
310,2,77,fred,77,2,77,2,77,7.799999999999988
311,3,77,F12,77,3,77,3,77,7.799999999999988
312,0,77,A,77,0,77,0,77,7.799999999999988
313,1,87,Davoud,78,1,78,1,78,7.899999999999988
314,2,87,fred,78,2,78,2,78,7.899999999999988
315,3,87,F12,78,3,78,3,78,7.899999999999988
316,0,87,A,78,0,78,0,78,7.899999999999988
317,1,97,Davoud,79,1,79,1,79,7.999999999999988
318,2,97,fred,79,2,79,2,79,7.999999999999988
319,3,97,F12,79,3,79,3,79,7.999999999999988
320,0,97,A,79,0,79,0,79,7.999999999999988
321,1,08,Davoud,80,1,80,1,80,8.099999999999987
322,2,08,fred,80,2,80,2,80,8.099999999999987
323,3,08,F12,80,3,80,3,80,8.099999999999987
324,0,08,A,80,0,80,0,80,8.099999999999987
325,1,18,Davoud,81,1,81,1,81,8.199999999999987
326,2,18,fred,81,2,81,2,81,8.199999999999987
327,3,18,F12,81,3,81,3,81,8.199999999999987
328,0,18,A,81,0,81,0,81,8.199999999999987
329,1,28,Davoud,82,1,82,1,82,8.299999999999986
330,2,28,fred,82,2,82,2,82,8.299999999999986
331,3,28,F12,82,3,82,3,82,8.299999999999986
332,0,28,A,82,0,82,0,82,8.299999999999986
333,1,38,Davoud,83,1,83,1,83,8.399999999999986
334,2,38,fred,83,2,83,2,83,8.399999999999986
335,3,38,F12,83,3,83,3,83,8.399999999999986
336,0,38,A,83,0,83,0,83,8.399999999999986
337,1,48,Davoud,84,1,84,1,84,8.499999999999986
338,2,48,fred,84,2,84,2,84,8.499999999999986
339,3,48,F12,84,3,84,3,84,8.499999999999986
340,0,48,A,84,0,84,0,84,8.499999999999986
341,1,58,Davoud,85,1,85,1,85,8.599999999999985
342,2,58,fred,85,2,85,2,85,8.599999999999985
343,3,58,F12,85,3,85,3,85,8.599999999999985
344,0,58,A,85,0,85,0,85,8.599999999999985
345,1,68,Davoud,86,1,86,1,86,8.699999999999985
346,2,68,fred,86,2,86,2,86,8.699999999999985
347,3,68,F12,86,3,86,3,86,8.699999999999985
348,0,68,A,86,0,86,0,86,8.699999999999985
349,1,78,Davoud,87,1,87,1,87,8.799999999999985
350,2,78,fred,87,2,87,2,87,8.799999999999985
351,3,78,F12,87,3,87,3,87,8.799999999999985
352,0,78,A,87,0,87,0,87,8.799999999999985
353,1,88,Davoud,88,1,88,1,88,8.899999999999984
354,2,88,fred,88,2,88,2,88,8.899999999999984
355,3,88,F12,88,3,88,3,88,8.899999999999984
356,0,88,A,88,0,88,0,88,8.899999999999984
357,1,98,Davoud,89,1,89,1,89,8.999999999999984
358,2,98,fred,89,2,89,2,89,8.999999999999984
359,3,98,F12,89,3,89,3,89,8.999999999999984
360,0,98,A,89,0,89,0,89,8.999999999999984
361,1,09,Davoud,90,1,90,1,90,9.099999999999984
362,2,09,fred,90,2,90,2,90,9.099999999999984
363,3,09,F12,90,3,90,3,90,9.099999999999984
364,0,09,A,90,0,90,0,90,9.099999999999984
365,1,19,Davoud,91,1,91,1,91,9.199999999999983
366,2,19,fred,91,2,91,2,91,9.199999999999983
367,3,19,F12,91,3,91,3,91,9.199999999999983
368,0,19,A,91,0,91,0,91,9.199999999999983
369,1,29,Davoud,92,1,92,1,92,9.299999999999983
370,2,29,fred,92,2,92,2,92,9.299999999999983
371,3,29,F12,92,3,92,3,92,9.299999999999983
372,0,29,A,92,0,92,0,92,9.299999999999983
373,1,39,Davoud,93,1,93,1,93,9.399999999999983
374,2,39,fred,93,2,93,2,93,9.399999999999983
375,3,39,F12,93,3,93,3,93,9.399999999999983
376,0,39,A,93,0,93,0,93,9.399999999999983
377,1,49,Davoud,94,1,94,1,94,9.499999999999982
378,2,49,fred,94,2,94,2,94,9.499999999999982
379,3,49,F12,94,3,94,3,94,9.499999999999982
380,0,49,A,94,0,94,0,94,9.499999999999982
381,1,59,Davoud,95,1,95,1,95,9.599999999999982
382,2,59,fred,95,2,95,2,95,9.599999999999982
383,3,59,F12,95,3,95,3,95,9.599999999999982
384,0,59,A,95,0,95,0,95,9.599999999999982
385,1,69,Davoud,96,1,96,1,96,9.699999999999982
386,2,69,fred,96,2,96,2,96,9.699999999999982
387,3,69,F12,96,3,96,3,96,9.699999999999982
388,0,69,A,96,0,96,0,96,9.699999999999982
389,1,79,Davoud,97,1,97,1,97,9.799999999999981
390,2,79,fred,97,2,97,2,97,9.799999999999981
391,3,79,F12,97,3,97,3,97,9.799999999999981
392,0,79,A,97,0,97,0,97,9.799999999999981
393,1,89,Davoud,98,1,98,1,98,9.89999999999998
394,2,89,fred,98,2,98,2,98,9.89999999999998
395,3,89,F12,98,3,98,3,98,9.89999999999998
396,0,89,A,98,0,98,0,98,9.89999999999998
397,1,99,Davoud,99,1,99,1,99,9.99999999999998
398,2,99,fred,99,2,99,2,99,9.99999999999998
399,3,99,F12,99,3,99,3,99,9.99999999999998
400,0,99,A,99,0,99,0,99,9.99999999999998
