round,li_mean,li_ttl,lr_mean,lr_ttl,l_i_mean,l_i_ttl,l_r_mean,l_r_ttl,i_mean,i_ttl,r_mean,r_ttl,money_mean,money_ttl
54,1.5,6,45.0,180,1.5,6,45.0,180,1.5,6,45.0,180,4.6,18.4
55,1.5,6,55.0,220,1.5,6,55.0,220,1.5,6,55.0,220,5.599999999999996,22.399999999999984
56,1.5,6,65.0,260,1.5,6,65.0,260,1.5,6,65.0,260,6.5999999999999925,26.39999999999997
57,1.5,6,75.0,300,1.5,6,75.0,300,1.5,6,75.0,300,7.599999999999989,30.399999999999956
58,1.5,6,85.0,340,1.5,6,85.0,340,1.5,6,85.0,340,8.599999999999985,34.39999999999994
59,1.5,6,95.0,380,1.5,6,95.0,380,1.5,6,95.0,380,9.599999999999982,38.39999999999993
60,1.5,6,6.0,24,1.5,6,6.0,24,1.5,6,6.0,24,0.7,2.8
61,1.5,6,16.0,64,1.5,6,16.0,64,1.5,6,16.0,64,1.7000000000000004,6.800000000000002
62,1.5,6,26.0,104,1.5,6,26.0,104,1.5,6,26.0,104,2.700000000000001,10.800000000000004
63,1.5,6,36.0,144,1.5,6,36.0,144,1.5,6,36.0,144,3.700000000000002,14.800000000000008
64,1.5,6,46.0,184,1.5,6,46.0,184,1.5,6,46.0,184,4.699999999999999,18.799999999999997
65,1.5,6,56.0,224,1.5,6,56.0,224,1.5,6,56.0,224,5.699999999999996,22.799999999999983
66,1.5,6,66.0,264,1.5,6,66.0,264,1.5,6,66.0,264,6.699999999999992,26.79999999999997
67,1.5,6,76.0,304,1.5,6,76.0,304,1.5,6,76.0,304,7.699999999999989,30.799999999999955
68,1.5,6,86.0,344,1.5,6,86.0,344,1.5,6,86.0,344,8.699999999999985,34.79999999999994
69,1.5,6,96.0,384,1.5,6,96.0,384,1.5,6,96.0,384,9.699999999999982,38.799999999999926
70,1.5,6,7.0,28,1.5,6,7.0,28,1.5,6,7.0,28,0.7999999999999999,3.1999999999999997
71,1.5,6,17.0,68,1.5,6,17.0,68,1.5,6,17.0,68,1.8000000000000005,7.200000000000002
72,1.5,6,27.0,108,1.5,6,27.0,108,1.5,6,27.0,108,2.800000000000001,11.200000000000005
73,1.5,6,37.0,148,1.5,6,37.0,148,1.5,6,37.0,148,3.800000000000002,15.200000000000008
74,1.5,6,47.0,188,1.5,6,47.0,188,1.5,6,47.0,188,4.799999999999999,19.199999999999996
75,1.5,6,57.0,228,1.5,6,57.0,228,1.5,6,57.0,228,5.799999999999995,23.19999999999998
76,1.5,6,67.0,268,1.5,6,67.0,268,1.5,6,67.0,268,6.799999999999992,27.199999999999967
77,1.5,6,77.0,308,1.5,6,77.0,308,1.5,6,77.0,308,7.799999999999988,31.199999999999953
78,1.5,6,87.0,348,1.5,6,87.0,348,1.5,6,87.0,348,8.799999999999985,35.19999999999994
79,1.5,6,97.0,388,1.5,6,97.0,388,1.5,6,97.0,388,9.799999999999981,39.199999999999925
80,1.5,6,8.0,32,1.5,6,8.0,32,1.5,6,8.0,32,0.8999999999999999,3.5999999999999996
81,1.5,6,18.0,72,1.5,6,18.0,72,1.5,6,18.0,72,1.9000000000000006,7.600000000000002
82,1.5,6,28.0,112,1.5,6,28.0,112,1.5,6,28.0,112,2.9000000000000012,11.600000000000005
83,1.5,6,38.0,152,1.5,6,38.0,152,1.5,6,38.0,152,3.900000000000002,15.600000000000009
84,1.5,6,48.0,192,1.5,6,48.0,192,1.5,6,48.0,192,4.899999999999999,19.599999999999994
85,1.5,6,58.0,232,1.5,6,58.0,232,1.5,6,58.0,232,5.899999999999995,23.59999999999998
86,1.5,6,68.0,272,1.5,6,68.0,272,1.5,6,68.0,272,6.8999999999999915,27.599999999999966
87,1.5,6,78.0,312,1.5,6,78.0,312,1.5,6,78.0,312,7.899999999999988,31.59999999999995
88,1.5,6,88.0,352,1.5,6,88.0,352,1.5,6,88.0,352,8.899999999999984,35.59999999999994
89,1.5,6,98.0,392,1.5,6,98.0,392,1.5,6,98.0,392,9.89999999999998,39.59999999999992
90,1.5,6,9.0,36,1.5,6,9.0,36,1.5,6,9.0,36,0.9999999999999999,3.9999999999999996
91,1.5,6,19.0,76,1.5,6,19.0,76,1.5,6,19.0,76,2.0000000000000004,8.000000000000002
92,1.5,6,29.0,116,1.5,6,29.0,116,1.5,6,29.0,116,3.0000000000000013,12.000000000000005
93,1.5,6,39.0,156,1.5,6,39.0,156,1.5,6,39.0,156,4.000000000000002,16.000000000000007
94,1.5,6,49.0,196,1.5,6,49.0,196,1.5,6,49.0,196,4.999999999999998,19.999999999999993
95,1.5,6,59.0,236,1.5,6,59.0,236,1.5,6,59.0,236,5.999999999999995,23.99999999999998
96,1.5,6,69.0,276,1.5,6,69.0,276,1.5,6,69.0,276,6.999999999999991,27.999999999999964
97,1.5,6,79.0,316,1.5,6,79.0,316,1.5,6,79.0,316,7.999999999999988,31.99999999999995
98,1.5,6,89.0,356,1.5,6,89.0,356,1.5,6,89.0,356,8.999999999999984,35.999999999999936
99,1.5,6,99.0,396,1.5,6,99.0,396,1.5,6,99.0,396,9.99999999999998,39.99999999999992
